Technology_Type,Ready_for_Service_Date,Area_ID,Service_Status,State,longitude,latitude,discharge_amnt_total
Hybrid Fibre Coaxial (HFC),22/08/2018,2ING-A0690,In Service,New South Wales,150.888478,-33.996555,1
Hybrid Fibre Coaxial (HFC),23/05/2019,2ING-A0691,In Service,New South Wales,150.885331,-33.994688,1
Hybrid Fibre Coaxial (HFC),23/09/2019,2ING-A0692,In Service,New South Wales,150.883425,-33.983292,1
Hybrid Fibre Coaxial (HFC),28/05/2019,2ING-A0693,In Service,New South Wales,150.885502,-33.994257,1
Hybrid Fibre Coaxial (HFC),10/07/2018,2ING-A0694,In Service,New South Wales,150.884656,-33.99331,1
Hybrid Fibre Coaxial (HFC),25/07/2019,2ING-A0695,In Service,New South Wales,150.88594,-33.991787,1
Hybrid Fibre Coaxial (HFC),28/06/2019,2ING-A0696,In Service,New South Wales,150.888334,-33.991081,1
Hybrid Fibre Coaxial (HFC),22/07/2019,2ING-A0698,In Service,New South Wales,150.88277,-33.990486,1
Hybrid Fibre Coaxial (HFC),27/06/2019,2ING-A0699,In Service,New South Wales,150.884661,-33.985336,1
Hybrid Fibre Coaxial (HFC),6/08/2019,2ING-A0700,In Service,New South Wales,150.89167,-33.997736,1
Hybrid Fibre Coaxial (HFC),7/11/2019,2ING-A0701,In Service,New South Wales,150.893448,-33.989278,1
Hybrid Fibre Coaxial (HFC),7/11/2019,2ING-A0702,In Service,New South Wales,150.872553,-34.001154,1
Hybrid Fibre Coaxial (HFC),22/11/2019,2ING-A0703,In Service,New South Wales,150.895549,-33.980301,1
Hybrid Fibre Coaxial (HFC),18/11/2019,2ING-A0704,In Service,New South Wales,150.879503,-34.000512,1
Hybrid Fibre Coaxial (HFC),4/12/2019,2ING-A0705,In Service,New South Wales,150.812229,-34.019192,1
Hybrid Fibre Coaxial (HFC),22/11/2019,2ING-A0707,In Service,New South Wales,150.899828,-33.980382,1
Hybrid Fibre Coaxial (HFC),12/11/2019,2ING-A0709,In Service,New South Wales,150.88948,-33.994186,1
Hybrid Fibre Coaxial (HFC),3/12/2019,2ING-A0711,In Service,New South Wales,150.862997,-34.005829,1
Hybrid Fibre Coaxial (HFC),25/11/2019,2ING-A0712,In Service,New South Wales,150.887913,-33.979695,1
Hybrid Fibre Coaxial (HFC),22/01/2020,2ING-A0731,In Service,New South Wales,150.869871,-33.998945,1
Hybrid Fibre Coaxial (HFC),3/12/2019,2ING-A0732,In Service,New South Wales,150.883214,-33.992647,1
Hybrid Fibre Coaxial (HFC),21/02/2020,2ING-A0739,In Service,New South Wales,150.87497,-34.00786,1
Hybrid Fibre Coaxial (HFC),3/02/2020,2ING-A0742,In Service,New South Wales,150.862203,-34.006094,1
Hybrid Fibre Coaxial (HFC),30/03/2020,2ING-A0743,In Service,New South Wales,150.869358,-34.004264,1
Hybrid Fibre Coaxial (HFC),23/01/2020,2ING-A0744,In Service,New South Wales,150.887351,-33.987886,1
Hybrid Fibre Coaxial (HFC),21/02/2020,2ING-A0755,In Service,New South Wales,150.815082,-34.027612,1
Hybrid Fibre Coaxial (HFC),16/03/2020,2ING-A0757,In Service,New South Wales,150.867968,-34.001461,1
