Ready_for_Service_Date,Area_ID,Service_Status,Technology_Type,longitude,latitude
31/01/2017,2BAO-51-03-MTGI-00-02,In Service,Fixed Wireless,149.831319,-35.47234
31/01/2017,2BAO-51-03-MTGI-00-03,In Service,Fixed Wireless,149.728316,-35.454599
31/01/2017,2BAO-51-03-MTGI-01-01,In Service,Fixed Wireless,149.807597,-35.433348
31/01/2017,2BAO-51-03-MTGI-01-03,In Service,Fixed Wireless,149.806248,-35.462662
31/01/2017,2BAO-51-03-MTGI-11-02,In Service,Fixed Wireless,149.775809,-35.451918
28/07/2015,2BEG-51-02-BEGE-00-01,In Service,Fixed Wireless,149.858104,-36.648578
28/07/2015,2BEG-51-02-BEGE-00-02,In Service,Fixed Wireless,149.880269,-36.688317
28/07/2015,2BEG-51-02-BEGE-00-03,In Service,Fixed Wireless,149.826791,-36.665173
28/07/2015,2BEG-51-02-BEGE-10-04,In Service,Fixed Wireless,149.885508,-36.625565
28/07/2015,2BEG-51-02-BEGE-10-05,In Service,Fixed Wireless,149.870617,-36.688373
28/07/2015,2BEG-51-02-BEGE-10-06,In Service,Fixed Wireless,149.840168,-36.649125
28/07/2015,2BEG-51-02-BEGE-11-01,In Service,Fixed Wireless,149.827756,-36.667015
28/07/2015,2BEG-51-02-BEGE-11-02,In Service,Fixed Wireless,149.876719,-36.671931
28/07/2015,2BEG-51-02-BEGE-11-03,In Service,Fixed Wireless,149.891132,-36.654917
29/07/2015,2BEG-51-03-BLKR-00-01,In Service,Fixed Wireless,149.792657,-36.681199
29/07/2015,2BEG-51-03-BLKR-00-02,In Service,Fixed Wireless,149.833025,-36.714711
29/07/2015,2BEG-51-03-BLKR-00-03,In Service,Fixed Wireless,149.80996,-36.711036
29/07/2015,2BEG-51-03-BLKR-10-04,In Service,Fixed Wireless,149.797693,-36.681891
29/07/2015,2BEG-51-03-BLKR-10-05,In Service,Fixed Wireless,149.826419,-36.695555
29/07/2015,2BEG-51-03-BLKR-10-06,In Service,Fixed Wireless,149.824623,-36.69087
